page_name,page_id,party,source,disclaimer,amount_spent_eur,number_of_ads_in_library,party1,party2,path,date_produced,spend,remove_em
CDA Zaanstad,1557210341199535,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Raymond Knops,1705660683039799,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Ommen,1107043432765171,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
René Peters,1791229601140644,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Winterswijk,1393972554182063,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Vlaardingen,1383104228576987,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Valkenswaard,1422889834673368,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij van de Arbeid PvdA Midden-Groningen,1510532972292654,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Tilburg,1389317844656912,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pvda Lingewaard,1380763172182215,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Noordoostpolder,1218520171552619,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bas van 't Wout,100124381382350,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Gijs van Dijk,100291500469490,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Eppo Bruins,100321288229672,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Amsterdam,100345376686972,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Dordtse VVD,101039903379008,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Daan Versteeg,1010657719133320,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren,102287806490622,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Politieke Partij Delta,102505038393058,Politieke Partij Delta,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Harmen Krul,102702261651304,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Zwolle,102760393111399,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GO Realisme & Daadkracht,103244341131787,GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Maik Barten - Raadslid VVD Geldrop-Mierlo,103278663447730,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Oirschot,103360741627020,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Nieuwe Democratie,103365881571818,Nieuwe Democratie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wethouder Cees Pille,103992696348691,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Vera Tax,104024417686758,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Thierry Aartsen,1041897309271360,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jelle Beemsterboer,105422274685438,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Ja21,106020448037192,Ja21,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Marco Eestermans PvdA,106235381376023,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDJA Duin- en Bollenstreek,107407420701832,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Gulpen-Wittem,107610150609555,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Urk,107794439556152,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DENK Den Haag,108120604060106,DENK,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Eveline Tijmstra,108130921151383,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bert-Jan Ruissen,108597633942628,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Burger Belangen Nederland,109233967233458,Burger Belangen Nederland,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Sabine Koebrugge,109868597382077,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Politiek Op Maat,110211433868259,Politiek Op Maat,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Volt Deventer,110753764083012,Volt Nederland,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Michiel Dijkman Kamerlid Kandidaat #38,111134424085540,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Zuid-Holland,111881632210618,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jonge Socialisten in de PvdA,112246298811452,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liane den Haan,1122985514429410,50PLUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Omdat ik het verdien,112341377212761,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Arne Weverling,112714980596832,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij van de Arbeid (PvdA),113895885305052,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD IJsselstein,114055275385794,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Haagse VVD,114631488645360,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Renswoude,115029341980720,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Roosendaal,115241245317898,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Rotterdam,116050085145365,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Carla Dik-Faber,1169104093164170,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Vught-Helvoirt-Cromvoirt,117095328492297,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Halderberge,117128052210675,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Lokaal Netwerk Brussel,117346168281139,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Woerden,117481438306203,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Kerkrade,120767601437627,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Zutphen/Warnsveld,1207987872568660,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD,121264564551002,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Burgemeester Han van Midden,122476232484830,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Den Haag,122589134531844,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Venlo,123074804424518,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Brabant,123604241074923,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Enschede,123661660977745,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Klaas Dijkhoff,124282324250399,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bert Veenstra - aspirant kandidaat voor Partij van de Arbeid,1245849062154550,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Groningen,125382950819455,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Libertaire Partij - LP,125663380814227,Libertaire Partij,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JOVD Eindhoven,128111953937914,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP,128393027527,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Utrechtse VVD,128640250574683,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Zeeland,129568950441577,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Eemsdelta,130487254323668,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 's-Hertogenbosch,131158970298702,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Daniel Koerhuis,1312513348824130,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Den Haag,133610523380150,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Terneuzen,134845486657988,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP-jongeren,134898129893433,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Katwijk,135376383177889,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Arnout van den Bosch - Raadslid PvdA Amstelveen,135501903830947,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"CDJA, CDA-jongeren",135642563196256,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Harderwijk-Hierden,135925936464418,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Rotterdam,136653320218,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Lingewaard,1377280262539840,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Agnes Mulder,138208102983774,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Thom de Vries D66,138401470173379,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JOVD Amsterdam e.o.,140197449380734,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pvda Rijswijk,140205082843346,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Alkmaar,1414350562183210,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NIDA,1438054859744080,NIDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JOVD Utrecht e.o.,143965825711068,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wethouder Robert van Asten,1440785062866880,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Amersfoort,144728552295443,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Leiden,145751698819583,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Volt Nederland,146644665960101,Volt Nederland,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jos van Ginneken,146649939174312,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Zeeland,146790238829202,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Leiden,147722648491,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Gert-Jan Segers,147772805659767,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Heemskerk,148005128902583,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Ingrid van Wifferen,148530589219712,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Sint-Michielsgestel,151541561675000,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP Goeree-Overflakkee,151766691678928,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Amsterdamse VVD,152313778157632,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wetenschappelijk Instituut ChristenUnie,152432188110990,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Berg en Dal,153189941370381,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jonge Democraten,153357044722038,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Overijssel,153430294762818,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Noord-Brabant,153434794680208,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Rotterdamse VVD,154456451319810,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Groenlinks Schagen,154736434721703,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wethouder Klaas Valkering,1555448837895990,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Den Haag,155758593317,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Provincie Utrecht,1559225897625340,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Oisterwijk,155956504541781,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PVV Lelystad,156993281594555,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Gennep,157342181127991,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wiardi Beckman Stichting,157600177601312,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Zeeland,157671251089913,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Haarlemmermeer,160222337386850,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Michael Kalthoff,160231627962186,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Olst-Wijhe,160488060781842,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Zoetermeer,162212757160066,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jonge Democraten Amsterdam,163556367006942,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Marie-José de Bruijn Raadslid Gemeente Beek,1662148977224700,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Winterswijk,166722416859309,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66Velsen,167333296705784,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Helmond,167597420073347,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Piratenpartij Utrecht - PPU,167833720446018,Piratenpartij,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Dordrecht,168582430001649,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Haarlem,169065999840857,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Rijssen-Holten,169693763207431,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Bunnik,169783746552665,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Amsterdam,170060616402275,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Koggenlandse VVD,170320339747730,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Rotterdam BIJ1,170469190212212,BIJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Delft,171999852960244,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Liberale Partij Maastricht,1725464544369370,Libertaire Partij,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jolanda van Gool PvdA073,1734008883285300,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Malik Azmani,1734459723547460,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Edam-Volendam,174522982750697,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Alkmaarse VVD,174727955895958,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Arjan de Vries,174891033059631,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Marius Wiegman,175250373219599,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Den Haag,175658419295023,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks,175740570505,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Burgemeester Michiel Pijl,1771461669799660,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Veenendaal,180322962326,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Alkmaar,1803486813232260,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jonge Democraten Leiden - Haaglanden (JD),180992861938464,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Groningen,181031342395,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD-Woudenberg,183495805173455,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Almeerse VVD,183538275059926,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Hoeksche Waard,184189882389473,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PVV Hengelo,185988911871870,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Almere,186370224739032,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pvda Beesel-Reuver,186407568165708,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Zwartewaterland,187680031329594,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Pvda Hof van Twente,187885148045634,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
David Bosch - PVV Utrecht,190051308416101,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PINK Limburg,1901080366774590,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Haarlemmermeer,190173454467936,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Den Haag,190869220945975,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DWARS Wageningen Oud/Inactief,192028604154756,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Harlingen,192600774817587,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Jan Hopstaken Raadslid,192705081300674,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Neder-Betuwe,193223164173865,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Zwolle,194216524014233,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bossche VVD,194900893890599,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Urk,195220513824326,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Woudenberg,196310430554710,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD De Bilt,196419123885680,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wetenschappelijk Instituut Statera,1965306773723580,DENK,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Woerdense VVD,197238087060916,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Rotterdam,197240740326073,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Heumen,197435423736962,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Wassenaar,197515056951719,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Europa,199340240080632,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Doetinchem,199385600271549,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Sluis,1995851374019790,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JOVD 's-Hertogenbosch e.o.,200799316690979,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Roosendaal,201138969999107,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Nederweert,201175180237864,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Waalre,201821126683232,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Geert Wilders,202064936858448,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Hattem,202773499768178,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Purmerend,204112443050641,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD De Fryske Marren,204113719762337,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie West Betuwe,205242676331332,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JOVD Flevoland,205880866133496,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Esther de Lange,206205079489175,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Overijssel,206932742776182,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Midden-Delfland,206998282815876,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Paul Tang,208020512703248,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Groningen,208032132579030,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP-jongeren CK,208182482974377,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
