page_name,page_id,party,source,disclaimer,amount_spent_eur,number_of_ads_in_library,party1,party2,path,date_produced,spend,remove_em
NA,102368056133655,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,108991395339466,PvdD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,1986808398204909,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP Utrechtse Heuvelrug,510879102598586,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP Utrechtse Heuvelrug,673294653100165,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Waalwijk,108781350908437,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Raoul Boucke,1378051212479416,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Het Hogeland,1663807260315461,PvdA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Goes,1412530858983763,PvdA,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Maasland,1743766155846128,VVD,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Nijmegen,1393529407559073,PvdA,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Goes,1750415495212074,D66,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Forum voor Democratie Zeeland,1631684917126244,FvD,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Partij voor de Dieren Almere,1746352698711497,PvdD,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PvdA Stichtse Vecht,1715340175444649,PvdA,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SGP Urk,1475272182780528,SGP,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Wormerland,1196350273823975,VVD,yo,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
FVD Amsterdam,1519997944789254,FvD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
JFVD,1310158545730624,FvD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Aa en Hunze,1940934655935968,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Helmond,1411283215766694,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Kim van Sparrentak,2326697260991619,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Midden-Groningen,1745762299021142,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GroenLinks Overbetuwe,1166808893329408,GroenLinks,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
DENK,1550088745275913,DENK,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Lelystad SGP,1502902726692279,SGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PVV Stichtse Vecht,1967914100151475,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PVV Sittard-Geleen,1263240523724892,PVV,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Meerssense VVD,1160701620720058,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Westerkwartier,1011775145585656,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Gemert-Bakel,1228215290628525,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Rudmer Heerema,1839041743042729,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Waterschap Limburg,1563699950578926,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
De Deurnese VVD,1422274718011012,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Altena,1543542572602854,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
VVD Rhenen,1788767758074479,VVD,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Molenlanden,1938971373084052,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Joël Voordewind,1142077739171588,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
ChristenUnie Hoeksche Waard,1000182456818319,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Christenunie Hardenberg,1407071029524552,ChristenUnie,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
50plus Tilburg,1069373879746516,50PLUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
SP Haarlem,1441662002729821,SP,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Aalten-Dinxperlo,1248801595203744,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Noord-Beveland,1729913110668532,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Soest-Soesterberg,1129208503774916,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
D66 Beekdaelen,1970145503263766,D66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Harry van der Molen,1598361623791979,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Michel Rog,1701977273392331,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Harderwijk Hierden,1595248250741419,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Heemskerk,1512067898874085,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Wopke Hoekstra,2018408465106868,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Joba van den Berg,1844392342447692,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Maurits von Martels CDA,1727815447535716,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Smallingerland,1787602688161421,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Mustafa Amhaouch,1862580210628899,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Zuid-Holland,1523833891223465,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
CDA Ermelo,1417520661873955,CDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
