id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
02abca91-d682-43bf-a54e-76d4e83a9f13,Populares de Jumilla,2023-05-25T06:54:46.766Z,973e86bd-5398-48f3-89b3-7d1aa08aeff5,PP,true,true,Spain,es,1544966625741757,Populares de Jumilla,Facebook
0388786d-65a0-4f84-8b07-425b7461d745,Madrid Exterior PP,2023-04-16T15:07:02.375Z,9721978e-78fc-49c9-bba4-01346732d85c,PP,true,true,Spain,es,102117159406873,Madrid Exterior PP,Facebook
038e41dd-2a7d-4b7e-903f-cbe80caec061,Juancho Ortiz,2023-03-28T10:54:52.273Z,00b89d91-ef91-48b3-8e01-2cda02af1888,PP,true,true,Spain,es,506225536438416,Juancho Ortiz,Facebook
05009374-08f4-4ea6-9389-00fc17f5a351,PP El Carpio,2023-03-25T10:54:36.350Z,3e06b5be-8267-4ce6-966a-06855ada6251,PP,true,true,Spain,es,103759005619024,PP El Carpio,Facebook
05806809-abfc-438f-9141-ecf0f319d9e1,Partido Popular de Adra,2023-05-18T06:54:57.153Z,f67900e8-16cc-41ff-81e0-a18e439b7dff,PP,true,true,Spain,es,290091581070,Partido Popular de Adra,Facebook
05a54d8f-2fb3-49ab-951c-8bf2658bc467,Partido Popular de Alhama de Murcia,2023-02-26T10:54:55.787Z,ec5cd295-6791-4b3f-9e18-c848e68cfa68,PP,true,true,Spain,es,185398898902533,Partido Popular de Alhama de Murcia,Facebook
07662443-753f-4357-9422-4343dfd3abe2,Populares de Casabermeja,2023-05-28T06:54:05.406Z,49229f15-d3f7-4d82-bd50-779f90bed2f0,PP,true,true,Spain,es,613512345363956,Populares de Casabermeja,Facebook
09bb2fff-cc73-4356-850c-c149afc1cf91,Partido Popular de Mazarrón,2023-02-20T10:54:47.198Z,e0c9270c-9dec-4d4b-ad89-97abe21cda71,PP,true,true,Spain,es,1425548567746388,Partido Popular de Mazarrón,Facebook
0b167743-7e6b-4e06-b212-1c5b3de96236,Partit Popular Alzira,2023-05-12T06:54:13.409Z,5f8869a4-dddc-4d27-b0d1-92ccced5dbb7,PP,true,true,Spain,es,488094328000443,Partit Popular Alzira,Facebook
0bc0f987-6d53-4b40-967d-5cd96399222c,Emilio J. Belencoso,2023-02-07T15:05:57.474Z,03b0d846-9343-4e43-bc87-3e063d989e92,PP,true,true,Spain,es,809819922430048,Emilio J. Belencoso,Facebook
0dc49962-64a2-412f-8685-7a1546c00cc6,Populares de Colindres,2023-05-24T06:54:50.403Z,bf899a07-8ed8-4fb2-918e-45920f6f102d,PP,true,true,Spain,es,678749308890595,Populares de Colindres,Facebook
0eff8f48-d024-49b7-8c4d-f696db78a744,PP Alcalá de Guadaíra,2023-04-14T08:50:04.653Z,174537c5-28e2-4d6e-956f-bf4ed12d36f0,PP,true,true,Spain,es,198239414451,PP Alcalá de Guadaíra,Facebook
0f25ff14-6847-4aa8-a8ea-041c330b7dd9,Partido Popular de Espartinas,2023-05-30T06:54:58.164Z,2b8fae29-2ee5-471d-834e-ae030845e6bf,PP,true,true,Spain,es,293814067340710,Partido Popular de Espartinas,Facebook
0f296bc2-71a9-45bb-968a-197436e6ffe4,Partido Popular de Roquetas de Mar,2023-05-24T06:54:49.241Z,4b882ab5-8663-4c43-8b64-f21148885764,PP,true,true,Spain,es,113266208750375,Partido Popular de Roquetas de Mar,Facebook
0fac1614-535e-480d-b35a-a6b453f41b12,Cristina Ayala Santamaria,2023-05-21T06:54:42.691Z,8403cf0a-298f-4731-85e9-c00576fe0b9e,PP,true,true,Spain,es,107944435592018,Cristina Ayala Santamaria,Facebook
10ddb34c-f78d-47e7-bfdb-6bf6f11cd5c0,Partido Popular de Barcelona,2022-08-16T15:24:00.785Z,d5804fe8-9092-49a1-9c84-19b15dff3000,PP,true,true,Spain,es,582289161857444,Partido Popular de Barcelona,Facebook
11c8017f-e134-404e-9fb2-263c63ccb753,PP Alcudia,2023-04-17T08:13:29.560Z,1803b839-d535-4f1d-ba9f-07fdc600cb1f,PP,true,true,Spain,es,331164180380084,PP Alcudia,Facebook
126c42c5-b35d-4b04-bb55-4ccd77ee52b1,Mariano H. Zapata,2023-03-08T14:56:20.582Z,06dcf1f3-93d3-470a-a3b5-14d3782baf59,PP,true,true,Spain,es,1606283606330066,Mariano H. Zapata,Facebook
13ba9ebb-d2b4-43b1-bffa-d70651661948,Partido Popular de Mieres,2023-02-12T10:54:27.831Z,d6d49b3b-1c52-4044-82aa-b93ab7e5da71,PP,true,true,Spain,es,381503748665573,Partido Popular de Mieres,Facebook
1478fc00-18c2-42b0-ac41-7143a56e1bd7,Partido Popular Logroño,2023-03-29T10:54:55.552Z,3ef0f608-d886-4781-816b-4a830fcaf326,PP,true,true,Spain,es,112043572149293,Partido Popular Logroño,Facebook
15a80f2c-718e-41f6-a734-5d039e333f95,PP de Aznalcázar,2023-05-11T06:54:47.213Z,7b8207c5-c869-4ed3-9a86-24e83dc2787d,PP,true,true,Spain,es,114017968246870,PP de Aznalcázar,Facebook
15cca455-a2df-4888-afa6-7b486e4f1e3b,Populares Vegas del Genil,2023-02-17T10:54:36.544Z,a0ec4a50-7df1-46fa-96df-eebc7d4b5733,PP,true,true,Spain,es,774969815928177,Populares Vegas del Genil,Facebook
186b3e3a-2198-4f91-8fd6-5e81c5094905,Partido Popular Alboraya,2023-04-30T06:54:19.602Z,a148f6b7-0174-40b5-94dd-407d5f48bdbe,PP,true,true,Spain,es,585965418210655,Partido Popular Alboraya,Facebook
187c4699-18a9-414e-8461-e25389cf66e8,Marco Aurelio  PP AV,2023-04-07T10:54:52.411Z,eb775a6b-6221-462f-a202-89cca04592be,PP,true,true,Spain,es,1465123837093251,Marco Aurelio  PP AV,Facebook
193289e6-688f-49fa-a8f2-f992fb0c3c2f,Populares Plasencia,2023-05-28T06:54:05.863Z,2ff9afe5-8c3c-433a-8f7a-5a8de47ec289,PP,true,true,Spain,es,119568178097225,Populares Plasencia,Facebook
1a8c88ac-0dd7-4d4e-8d29-7a9c278f8dfa,Partido Popular de Zaragoza,2023-05-27T06:54:08.850Z,0f0100b6-e183-480f-9423-60d916e4f548,PP,true,true,Spain,es,896596530426106,Partido Popular de Zaragoza,Facebook
1aeeb54b-ad95-4d58-a1d2-c24188bff119,Ainhoa Domaica,2023-02-07T15:05:57.299Z,75ff80c2-f4c3-40a0-8e8d-4dff55ac2dac,PP,true,true,Spain,es,1912751945690129,Ainhoa Domaica,Facebook
1b593346-6914-477e-aaa8-1ce71fa1ae89,Populares Chilches,2023-03-08T19:36:40.653Z,1dce4db5-1fbb-435d-9031-8299e48d8b92,PP,true,true,Spain,es,708921519186101,Populares Chilches,Facebook
1d193ee2-db79-4066-bc25-aa54999ecd95,Pepe Vegara,2023-05-20T06:54:50.010Z,a69ff93c-cf0e-4715-81f7-aec167e7e57d,PP,true,true,Spain,es,102901036039037,Pepe Vegara,Facebook
1e6fdca3-650c-4ce0-b74c-e2083b331cbc,Populares de Miguelturra,2023-05-16T06:54:47.086Z,3cbe5b02-667d-44fc-8bf7-b54096a86f9d,PP,true,true,Spain,es,880898781934441,Populares de Miguelturra,Facebook
1e90689d-049c-4333-8093-ddadf1afd576,Bruno Alcalde Cádiz,2023-03-11T10:55:04.737Z,260aa7bd-340d-4568-9b6f-75e521afe437,PP,true,true,Spain,es,101492375692102,Bruno Alcalde Cádiz,Facebook
1f274c9d-9fcc-4c1f-86bf-6f78fe3b52ea,Populares Pilas,2023-04-16T15:07:02.366Z,ecbd8c9b-da9d-4dd2-8718-ebbd7c23ceae,PP,true,true,Spain,es,112545245582490,Populares Pilas,Facebook
1f6f1b3b-ebcc-4cd8-9a89-016d138c3a7c,Partido Popular de Lardero,2023-05-23T06:54:44.994Z,813ba0ec-c560-447e-87ef-3c4fa80b7404,PP,true,true,Spain,es,415454589236850,Partido Popular de Lardero,Facebook
1f9cc24e-8cda-4770-bc30-2e16c1387404,Populares San Javier,2023-02-21T10:54:41.238Z,951b53e9-9144-431f-90b4-b30612d0a278,PP,true,true,Spain,es,1552872291595756,Populares San Javier,Facebook
1fb019c1-c687-4295-b505-6af4d1c35803,Populares Ontigola,2023-05-18T06:54:58.044Z,5f105e81-0d36-49fb-b96e-0fa519b00e49,PP,true,true,Spain,es,1041278672725693,Populares Ontigola,Facebook
2085cb37-f183-4c7e-be8b-da36a7c878f4,PP Mahón,2023-03-13T10:54:47.952Z,4fdb240f-3a1a-4885-b9ba-a0023aaea5ab,PP,true,true,Spain,es,299874673447674,PP Mahón,Facebook
21a487c7-44cf-47de-9d13-c8ac50d4fdf4,Partido Popular De Caudete De Las Fuentes,2023-05-21T06:54:41.668Z,dda48141-73bf-4b21-aec8-cd35720ee4b3,PP,true,true,Spain,es,519027991589688,Partido Popular De Caudete De Las Fuentes,Facebook
223c85d2-b057-4f50-ab6f-a4e89d039dbb,Partido Popular de Zamora,2023-03-03T10:54:46.657Z,aa7946e6-61bd-40de-a936-3dcef633bba6,PP,true,true,Spain,es,1509155579351280,Partido Popular de Zamora,Facebook
262fda74-585b-4fd4-846a-97e593116f3e,Juanma González,2023-05-30T06:54:58.570Z,d5789ad9-5a80-4a75-9649-91292901bb45,PP,true,true,Spain,es,972999862714255,Juanma González,Facebook
2696fa94-a214-4e91-8158-b4a0666095bb,Jorge Azcón,2023-05-17T06:54:10.515Z,3d9d13f8-0cee-4463-86a8-7bbcc6b059ab,PP,true,true,Spain,es,1005758609559650,Jorge Azcón,Facebook
290edabe-75ee-4439-80f5-00237fbdb116,Almuñécar - La Herradura Partido Popular,2023-02-19T10:55:00.984Z,89f922c9-2962-4b17-811b-1f5152507ab8,PP,true,true,Spain,es,1539774576306980,Almuñécar - La Herradura Partido Popular,Facebook
29678c8f-2048-455d-8247-ddae027ed301,Populares de Tuineje,2023-05-26T06:54:57.653Z,89271e34-1cbc-4323-bee7-98794e0df7b3,PP,true,true,Spain,es,470464296824383,Populares de Tuineje,Facebook
29ba6459-4efb-4b75-8b7e-2676e5629419,PP Eivissa,2023-05-21T06:54:40.784Z,609151fb-84bf-4390-81d4-2068479834f5,PP,true,true,Spain,es,227979920592904,PP Eivissa,Facebook
29f761ce-d9b0-4102-ad8f-27b91022a635,Populares Monforte del Cid,2023-05-21T06:54:42.610Z,dc62c2de-ffe9-43e7-a34e-cd385cc61b77,PP,true,true,Spain,es,302866899915838,Populares Monforte del Cid,Facebook
