Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
110744281664042,Sumar,Sumar,3997,41
171998672850722,REPSOL,REPSOL,3888,8
110450198747205,Urna y toalla,Komons Collective SLL,1705,88
133044800622,Greenpeace España,Greenpeace España,1438,39
108804638916425,Portal de Participación del CJE,Osoigo,1348,112
78151799929,Amnistía Internacional España,Amnistía Internacional España,1180,146
118067454874491,Orange,Orange,1108,5
94118672764,ACNUR Comite español,ACNUR,814,12
57845333112,Save the Children España,Save the Children España,781,8
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,590,12
20108693880,Oxfam Intermón,Oxfam Intermón,512,21
100160149099313,Justice Initiative,Justice Initiative,475,4
169915749735403,CEAR,CEAR,461,28
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,425,3
467127060059387,VOX España,Vox,338,4
57973661707,WWF España,WWF España,329,58
187991754570725,LaLiga,LaLiga,316,11
251020021637315,Iberdrola,Iberdrola,307,4
178362315106,European Parliament,European Parliament,254,6
191375027559681,NIVEA,"NIVEA España (Beiersdorf, S.A.)",249,6
815597255122198,Osoigo,Osoigo,221,50
245741112112300,Ayuda En Acción,Ayuda En Acción,204,26
306840072990831,Socios Cruz Roja,Socios Cruz Roja,194,7
94118672764,ACNUR Comite español,ACNUR Comite español,194,7
131231529742,Fundación Anesvad,Fundación Anesvad,182,8
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,177,9
161916260510295,Òmnium Cultural,Òmnium Cultural,151,20
1549407258706617,"Fundación ""la Caixa""","Fundación ""la Caixa""",145,2
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,142,24
1838777613037287,"Berdintasun, Justizia eta Gizarte Politiketako Saila",Eusko Jaurlaritza - Gobierno Vasco,124,4
821902454827883,Wave Of Change,Wave of Change,120,2
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,106,23
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,105,4
1772591363067613,Revo Prosperidad Sostenible,Revo Prosperidad Sostenible,≤100,2
47896270298,Iberostar,Iberostar Hotels & Resorts,≤100,4
107586119439370,CEPSA Corporate,Cepsa,≤100,4
