Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
72249031214,Partido Popular,Partido Popular,23482,306
189318235003,PSOE,PSOE,9777,71
110744281664042,Sumar,Sumar,5567,120
436925766384635,Fundació Cipriano García CCOO,Fundació Cipriano García CCOO,5426,50
191613196327,PSOE de Andalucía,PSOE de Andalucía,1696,5
78151799929,Amnistía Internacional España,Amnistía Internacional España,1502,157
133044800622,Greenpeace España,Greenpeace España,1062,22
463627663844039,En Comú Podem,En Comú Podem,933,140
57845333112,Save the Children España,Save the Children España,885,34
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,828,8
20108693880,Oxfam Intermón,Oxfam Intermón,686,40
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,610,14
382886965378,Populares Illes Balears,Partido Popular,562,19
1499578240271320,Coalicion Canaria,Coalicion Canaria,524,8
187629584594801,AnimaNaturalis España,AnimaNaturalis Internacional,493,3
169915749735403,CEAR,CEAR,471,35
114780085002861,Vota Si Quieres,Vota Si Quieres,457,37
57973661707,WWF España,WWF España,427,71
111993077931929,Adelante Andalucía,Adelante Andalucía,410,67
110450198747205,Urna y toalla,Komons Collective SLL,401,93
269212336568846,Podemos,PODEMOS,389,269
112538350301638,Ministerio de Igualdad,Ministerio de Igualdad,328,6
213650972480262,Cristina Valido,Coalición Canaria,315,3
178362315106,European Parliament,European Parliament,300,5
214605018563667,PSOE Jaén,PSOE Jaén,295,4
26830001203,EAJ-PNV,EAJ-PNV,283,4
395011107895713,Nueva Canarias,Nueva Canarias,268,5
531128753605705,PSOE Tenerife,PSOE Tenerife,239,6
131231529742,Fundación Anesvad,Fundación Anesvad,226,3
280596328688823,Tenerife Violeta,Cabildo de Tenerife,224,3
429687251134247,María Fernández,Coalición Canaria,224,2
815597255122198,Osoigo,Osoigo,214,93
194053080624605,Compromís,Compromís-Sumar,211,9
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,197,7
306840072990831,Socios Cruz Roja,Socios Cruz Roja,197,7
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,196,12
273617426014444,Tetra Pak España,Findasense,190,3
102311569588220,Demos Lab,Demos Lab,189,22
156284204461019,CUP Països Catalans,Candidatura d'Unitat Popular,187,2
48426568814,Federación Socialista Asturiana FSA-PSOE,Federación Socialista Asturiana FSA-PSOE,186,6
245741112112300,Ayuda En Acción,Ayuda En Acción,181,26
374070875952519,Esquerra Barcelona,Esquerra Barcelona,179,5
183202371808498,EH Bildu,EH Bildu,179,14
190526467655484,Osakidetza,Osakidetza,176,9
392689997465240,PSOE Segovia,PSOE SEGOVIA,173,20
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,158,22
626332130810584,Coalición Canaria Fuerteventura,Coalición Canaria Fuerteventura,144,7
290610294298933,Geroa Bai,Geroa Bai,137,13
107410381720374,Marea Deliberativa,Marea Deliberativa,132,5
117887575012127,Leche Pascual,Leche Pascual,122,15
821902454827883,Wave Of Change,Wave of Change,118,2
582289161857444,Partido Popular de Barcelona,Partido Popular de Barcelona,117,9
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,114,2
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,113,4
1519614064741308,Miriam Nogueras Camero,Junts,109,1
1566161093633067,Santander Empresas,Santander España,104,2
161916260510295,Òmnium Cultural,Òmnium Cultural,≤100,12
186925684816583,Asociación Amicos,Asociación Amicos,≤100,2
132591756789822,Eroski,Eroski,≤100,1
47896270298,Iberostar,Iberostar Hotels & Resorts,≤100,4
106050095884199,EDUSI El EJIDO,EDUSI EL EJIDO,≤100,2
278435015522511,APOEL FC,These ads ran without a disclaimer,≤100,3
73510463324,Partido Socialista de Navarra (PSN-PSOE),PSN-PSOE,≤100,3
120104454689359,MAPFRE,MAPFRE,≤100,26
121058217922496,CaixaForum,CaixaForum,≤100,2
146043418739497,Diari ARA,Diari ARA,≤100,34
105664031745,UNRWA.es,UNRWA España,≤100,15
114320674917324,Puntos de Vista,Puntos de Vista,≤100,20
11473659787,Educo,Educo,≤100,14
1405445633036784,Podemos Región de Murcia,PODEMOS,≤100,2
129288810450590,Donostia - San Sebastián,Donostiako Udala - Ayuntamiento de San Sebastián,≤100,4
386166375144833,Junts per Catalunya,Junts per Catalunya,≤100,5
106707916656,UPN - Unión del Pueblo Navarro,UPN,≤100,3
110914462055625,SUMAR León,Sumar,≤100,10
741696855903082,Opositatest,Opositatest,≤100,7
