Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
189318235003,PSOE,PSOE,29999,77
72249031214,Partido Popular,Partido Popular,10748,145
110744281664042,Sumar,Sumar,9852,98
78151799929,Amnistía Internacional España,Amnistía Internacional España,1657,156
57845333112,Save the Children España,Save the Children España,1579,25
133044800622,Greenpeace España,Greenpeace España,1091,26
463627663844039,En Comú Podem,En Comú Podem,988,113
178362315106,European Parliament,European Parliament,949,8
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,670,12
1499578240271320,Coalicion Canaria,Coalicion Canaria,598,8
20108693880,Oxfam Intermón,Oxfam Intermón,534,30
169915749735403,CEAR,CEAR,504,30
110450198747205,Urna y toalla,Komons Collective SLL,461,71
386166375144833,Junts per Catalunya,Junts per Catalunya,419,3
382886965378,Populares Illes Balears,Partido Popular,377,7
213650972480262,Cristina Valido,Coalición Canaria,364,3
57973661707,WWF España,WWF España,352,52
191375027559681,NIVEA,"NIVEA España (Beiersdorf, S.A.)",301,6
429687251134247,María Fernández,Coalición Canaria,273,2
531128753605705,PSOE Tenerife,PSOE Tenerife,271,6
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,258,2
147547541961576,Council of the European Union,Council of the European Union,238,5
438805149591701,Aldi Supermercados,ALDI Central de Compras,236,1
80678672726,Partido Popular Comunitat Valenciana,Partido Popular Comunitat Valenciana,230,1
107410381720374,Marea Deliberativa,Marea Deliberativa,227,5
102311569588220,Demos Lab,Demos Lab,223,6
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,213,2
132591756789822,Eroski,Eroski,207,2
306840072990831,Socios Cruz Roja,Socios Cruz Roja,207,7
245741112112300,Ayuda En Acción,Ayuda En Acción,205,26
436925766384635,Fundació Cipriano García CCOO,Fundació Cipriano García CCOO,204,15
94118672764,ACNUR Comite español,ACNUR,189,10
815597255122198,Osoigo,Osoigo,185,60
183202371808498,EH Bildu,EH Bildu,177,14
280596328688823,Tenerife Violeta,Cabildo de Tenerife,159,2
1519614064741308,Miriam Nogueras Camero,Junts,154,2
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,152,22
392689997465240,PSOE Segovia,PSOE SEGOVIA,151,9
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,150,3
214605018563667,PSOE Jaén,PSOE Jaén,146,2
190526467655484,Osakidetza,Osakidetza,146,6
