Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
189318235003,PSOE,PSOE,28578,75
72249031214,Partido Popular,Partido Popular,10260,239
110744281664042,Sumar,Sumar,3176,29
57845333112,Save the Children España,Save the Children España,1121,25
78151799929,Amnistía Internacional España,Amnistía Internacional España,1066,163
133044800622,Greenpeace España,Greenpeace España,994,26
251020021637315,Iberdrola,Iberdrola,712,2
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,586,12
463627663844039,En Comú Podem,En Comú Podem,557,73
20108693880,Oxfam Intermón,Oxfam Intermón,479,24
110450198747205,Urna y toalla,Komons Collective SLL,474,73
1499578240271320,Coalicion Canaria,Coalicion Canaria,453,7
169915749735403,CEAR,CEAR,448,30
94118672764,ACNUR Comite español,ACNUR,435,10
213650972480262,Cristina Valido,Coalición Canaria,308,3
57973661707,WWF España,WWF España,305,55
191375027559681,NIVEA,"NIVEA España (Beiersdorf, S.A.)",289,6
467127060059387,VOX España,Vox,287,2
429687251134247,María Fernández,Coalición Canaria,244,3
386166375144833,Junts per Catalunya,Junts per Catalunya,230,3
80678672726,Partido Popular Comunitat Valenciana,Partido Popular Comunitat Valenciana,230,1
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,222,2
102311569588220,Demos Lab,Demos Lab,205,7
178362315106,European Parliament,European Parliament,201,4
438805149591701,Aldi Supermercados,ALDI Central de Compras,195,1
147547541961576,Council of the European Union,Council of the European Union,193,5
815597255122198,Osoigo,Osoigo,190,136
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,188,1
306840072990831,Socios Cruz Roja,Socios Cruz Roja,187,7
245741112112300,Ayuda En Acción,Ayuda En Acción,183,26
132591756789822,Eroski,Eroski,180,2
1549407258706617,"Fundación ""la Caixa""","Fundación ""la Caixa""",146,2
280596328688823,Tenerife Violeta,Cabildo de Tenerife,131,2
104643967668221,endesa,Endesa,130,1
94118672764,ACNUR Comite español,ACNUR Comite español,129,3
1838777613037287,"Berdintasun, Justizia eta Gizarte Politiketako Saila",Eusko Jaurlaritza - Gobierno Vasco,128,4
190526467655484,Osakidetza,Osakidetza,122,6
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,119,22
821902454827883,Wave Of Change,Wave of Change,118,2
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,112,3
11473659787,Educo,Educo,102,11
290610294298933,Geroa Bai,Geroa Bai,≤100,2
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,≤100,5
47896270298,Iberostar,Iberostar Hotels & Resorts,≤100,4
300102416847349,Wetaca,Wetaca,≤100,2
186925684816583,Asociación Amicos,Asociación Amicos,≤100,2
175357075823543,CRIS contra el Cancer,CRIS contra el Cancer,≤100,21
106707916656,UPN - Unión del Pueblo Navarro,UPN,≤100,3
161916260510295,Òmnium Cultural,Òmnium Cultural,≤100,11
146043418739497,Diari ARA,Diari ARA,≤100,43
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,≤100,1
120104454689359,MAPFRE,MAPFRE,≤100,26
152984254897718,The Objective,The Objective Media SL,≤100,1
409388396198516,Freeda ES,Freeda Media,≤100,1
131231529742,Fundación Anesvad,Fundación Anesvad,≤100,4
147254948760486,Fundación Española De Abogados Cristianos,Asociacion Española De Abogados Cristianos,≤100,7
183202371808498,EH Bildu,EH Bildu,≤100,11
302436570114382,Amigos de los Mayores,Amigos de los Mayores,≤100,9
105664031745,UNRWA.es,UNRWA España,≤100,18
101812872336696,Alivia,Fundación Alivia España,≤100,12
159665490863316,Cepsa,"COMPAÑÍA ESPAÑOLA DE PETRÓLEOS, S.A. (CEPSA)",≤100,3
128341470548824,BNG - Bloque Nacionalista Galego,BNG - Bloque Nacionalista Galego,≤100,16
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,≤100,3
1758998197671486,Frente Obrero España,Comité pro-Frente Obrero España,≤100,3
100153748842445,Junior Report,Blue Globe Media S.L.,≤100,25
100160149099313,Justice Initiative,Justice Initiative,≤100,4
269212336568846,Podemos,PODEMOS,≤100,31
101815246228156,JEF España,JEF España,≤100,7
111993077931929,Adelante Andalucía,Adelante Andalucía,≤100,43
121794324641122,Forbes España,Forbes España,≤100,9
117887575012127,Leche Pascual,Leche Pascual,≤100,13
111892984250,Fundación World Vision España,Fundación World Vision International,≤100,23
416723460540,Irekia - EJGV,Irekia - Gobierno Vasco,≤100,2
175357075823543,CRIS contra el Cancer,FUNDACIÓN CRIS DE INVESTIGACIÓN PARA VENCER EL CÁNCER,≤100,1
116136108464509,CaixaBank,CaixaBank,≤100,3
392689997465240,PSOE Segovia,PSOE SEGOVIA,≤100,7
178932215807163,Endesa Clientes,Findasense,≤100,4
107410381720374,Marea Deliberativa,Marea Deliberativa,≤100,6
45817335745,Entreculturas,Entreculturas,≤100,16
626332130810584,Coalición Canaria Fuerteventura,Coalición Canaria Fuerteventura,≤100,2
121058217922496,CaixaForum,CaixaForum,≤100,1
471951929539262,Energia_Vital,Energia_Vital,≤100,2
148269501881188,Plataforma per la Llengua,Plataforma per la Llengua,≤100,1
215170472339341,Estudo Momento,Estudo Momento,≤100,4
341793479830142,Padrinos por la Discapacidad,FUNDACIÓN JUAN BONAL,≤100,2
199264106789376,IOC Clínica Dental,IOC Clínica Dental,≤100,6
107586119439370,CEPSA Corporate,Cepsa,≤100,1
764841146997173,En EPOC el Cero Cuenta,Edelman Spain,≤100,5
114246916794630,En Asma el Cero Cuenta,Edelman Spain,≤100,6
205020556374341,Bezoya,Bezoya,≤100,3
155704194479487,Salud por Derecho,Fundación Salud por Derecho,≤100,9
174696652583261,Fundación Aladina,Fundación Aladina,≤100,18
228545230545402,Manos Unidas,Manos Unidas,≤100,16
110914462055625,SUMAR León,Sumar,≤100,3
1793510380925494,USR Diaspora,Partidul Uniunea Salvați România,≤100,1
130499210351166,Fundació Bofill,Fundació Bofill,≤100,4
522165734963300,USR Spania și Portugalia,Partidul Uniunea Salvați România,≤100,1
103440262813668,Osoigo Next,Osoigo,≤100,4
741696855903082,Opositatest,Opositatest,≤100,2
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,≤100,11
70020937349,SEO/BirdLife,SEO/BirdLife,≤100,14
305608429284,EU Environment,These ads ran without a disclaimer,≤100,2
105587705334940,Padrinos,FUNDACIÓN JUAN BONAL,≤100,1
635955783199441,Cursos Nascor,Nascor Formación,≤100,15
400445143359153,Fundació Silvestre,Fundació Silvestre,≤100,12
