Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,7701,50
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,5800,15
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,2566,42
216089191899991,Νίκος Ανδρουλάκης,ΠΑΣΟΚ - Κίνημα Αλλαγής,1321,16
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,504,12
2219917241402396,Γιάννης Μαντζουράνης,Γιάννης Μαντζουράνης,463,11
345324598921301,"Εφημερίδα ""Η Αυγή""","Εφημερίδα ""Η ΑΥΓΗ""",237,3
122074554119,EU Social,EU Social,235,7
1453561674937232,Κορπή Φυσικό Μεταλλικό Νερό,These ads ran without a disclaimer,180,1
279116802432610,Ελληνική Λύση,Ελληνική Λύση,148,4
1590002597914732,ΔΥΠΑ - Δημόσια Υπηρεσία Απασχόλησης,Δημόσια Υπηρεσία Απασχόλησης,135,11
91877963116,WWF Greece,WWF Greece,135,16
192906947432657,Protagon.gr (official),Protagon.gr (official),117,12
103834141967178,Ελλάδα 24,Ellada 24,105,6
100771372008093,powergame.gr,POWERGAME,104,31
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,≤100,1
412207436231536,Γιώργος Νικητιάδης,Γιώργος Νικητιάδης,≤100,2
404183552993057,newmoney.gr,newmoney.gr,≤100,12
100169441866284,Νικόλαος Καρδούλας,Νικόλαος Καρδούλας,≤100,1
2131206810510315,George Vrettakos,Γιώργος Βρεττάκος,≤100,7
1637375619619220,Άγγελος Αγραφιώτης,Άγγελος Αγραφιώτης,≤100,3
134135906635470,newsbomb.gr,newsbomb.gr,≤100,2
104692221824082,Energymag.gr,Energymag,≤100,38
174590159233465,Thessaloniki International Film Festival,Thessaloniki International Film Festival,≤100,8
105531162548016,Δημήτρης Γκάρτζος,Δημήτρης Γκάρτζος,≤100,1
159977541380043,The President,The President,≤100,6
107898832590939,European Commission,European Commission,≤100,2
931897020261427,AVIN,AVIN,≤100,3
350490315356765,Γιώργος Παπαδημητρίου - George Papadimitriou,Γιώργος Παπαδημητρίου - George Papadimitriou,≤100,2
104871439107989,Justice Initiative Greece,Justice Initiative Greece,≤100,6
139872412072,Coca-Cola 3E,COCA-COLA ΤΡΙΑ ΕΨΙΛΟΝ ΕΛΛΑΔΟΣ Α.Β.Ε.Ε.,≤100,3
117072912198,protothema.gr,Protothema.gr,≤100,13
1004900052864353,mononews.gr,mononews.gr,≤100,9
104944762512920,Στέλιος Αγγελούδης,Στέλιος Αγγελούδης,≤100,4
107423845600349,Δημήτρης Παπαγιάνναρος,Δημήτρης Παπαγιάνναρος,≤100,1
248309308515494,Ίδρυμα Ωνάση / Onassis Foundation,Onassis Foundation,≤100,3
716811695006895,Συμμαχία Πολιτών,Συμμαχία Πολιτών,≤100,8
2060067617628884,Αναστασία Σιμητροπούλου - Υποψήφια Δήμαρχος Αλίμου,Αναστασία Σιμητροπούλου - Υποψήφια Δήμαρχος Αλίμου,≤100,5
100582149195797,CretaNews.eu,CretaNews.eu,≤100,4
349629809016331,Μενέλαος Μαλτέζος,Μενέλαος Μαλτέζος,≤100,5
88027997208,Διεθνής Αμνηστία - Ελληνικό Τμήμα,Amnesty International Greece,≤100,2
339494163887900,ΑγαΠάμε την Πόλη μας τον Άγιο Δημήτριο,ΑγαΠάμε την Πόλη μας τον Άγιο Δημήτριο,≤100,14
639195573200114,Όλοι Εμείς - Δρόσος Τσαβλής,Όλοι Εμείς - Δρόσος Τσαβλής,≤100,1
1474067842813045,Βαγγέλης Ντηνιακός - Δήμαρχος Χαϊδαρίου,EVANGELOS DINIAKOS,≤100,3
104299506270374,Euro2day,Euro2day,≤100,9
333635613794935,ΜέΡΑ25,ΜέΡΑ25,≤100,1
755503537794595,Γιώργος Δημόπουλος - Giorgos Dimopoulos,Γιώργος Δημόπουλος - Giorgos Dimopoulos,≤100,5
117037629671698,BusinessDaily,Business Daily,≤100,7
701705353261052,Σπύρος Πέγκας,Σπύρος Πέγκας,≤100,5
224407310782,Εκδόσεις Διόπτρα - Dioptra Publications,Εκδόσεις Διόπτρα,≤100,1
814967308545063,ΣΥΡΙΖΑ Ηρακλείου,ΣΥΡΙΖΑ Ηρακλείου,≤100,1
1748153855406537,vradini.gr,vradini.gr,≤100,4
108791052133718,Λεωνίδας Παππάς - Υποψήφιος Βουλευτής Καβάλας,Λεωνίδας Παππάς - Υποψήφιος Βουλευτής Καβάλας,≤100,5
