Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
189318235003,PSOE,PSOE,46420,73
72249031214,Partido Popular,Partido Popular,9661,145
78151799929,Amnistía Internacional España,Amnistía Internacional España,1480,155
57845333112,Save the Children España,Save the Children España,1455,25
251020021637315,Iberdrola,Iberdrola,1188,2
133044800622,Greenpeace España,Greenpeace España,1074,26
463627663844039,En Comú Podem,En Comú Podem,710,102
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,631,12
178362315106,European Parliament,European Parliament,597,7
1499578240271320,Coalicion Canaria,Coalicion Canaria,573,8
20108693880,Oxfam Intermón,Oxfam Intermón,525,30
169915749735403,CEAR,CEAR,511,30
94118672764,ACNUR Comite español,ACNUR,489,10
386166375144833,Junts per Catalunya,Junts per Catalunya,487,3
110450198747205,Urna y toalla,Komons Collective SLL,414,72
382886965378,Populares Illes Balears,Partido Popular,364,6
213650972480262,Cristina Valido,Coalición Canaria,349,3
57973661707,WWF España,WWF España,324,54
191375027559681,NIVEA,"NIVEA España (Beiersdorf, S.A.)",314,6
429687251134247,María Fernández,Coalición Canaria,260,2
80678672726,Partido Popular Comunitat Valenciana,Partido Popular Comunitat Valenciana,230,1
438805149591701,Aldi Supermercados,ALDI Central de Compras,216,1
107410381720374,Marea Deliberativa,Marea Deliberativa,211,5
147547541961576,Council of the European Union,Council of the European Union,210,5
102311569588220,Demos Lab,Demos Lab,208,6
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,204,1
815597255122198,Osoigo,Osoigo,199,111
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,195,3
245741112112300,Ayuda En Acción,Ayuda En Acción,195,26
132591756789822,Eroski,Eroski,193,2
104643967668221,endesa,Endesa,170,1
467127060059387,VOX España,Vox,146,2
1838777613037287,"Berdintasun, Justizia eta Gizarte Politiketako Saila",Eusko Jaurlaritza - Gobierno Vasco,144,4
280596328688823,Tenerife Violeta,Cabildo de Tenerife,142,2
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,140,3
392689997465240,PSOE Segovia,PSOE SEGOVIA,139,9
94118672764,ACNUR Comite español,ACNUR Comite español,139,3
290610294298933,Geroa Bai,Geroa Bai,136,3
190526467655484,Osakidetza,Osakidetza,134,6
821902454827883,Wave Of Change,Wave of Change,128,2
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,114,22
26830001203,EAJ-PNV,EAJ-PNV,110,1
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,107,5
186925684816583,Asociación Amicos,Asociación Amicos,106,2
47896270298,Iberostar,Iberostar Hotels & Resorts,≤100,4
118901311181237,El pais news,These ads ran without a disclaimer,≤100,1
