Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2897,47
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,1050,11
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1048,9
216089191899991,Νίκος Ανδρουλάκης,ΠΑΣΟΚ - Κίνημα Αλλαγής,658,9
122074554119,EU Social,EU Social,276,7
178362315106,European Parliament,European Parliament,252,5
105845878599873,Πατριωτική Δύναμη - Πρόδρομος Εμφιετζόγλου,Πανελλήνια Πατριωτική Ένωση,242,2
701705353261052,Σπύρος Πέγκας,Σπύρος Πέγκας,212,13
91877963116,WWF Greece,WWF Greece,132,16
413481085342507,Lidl Hellas,These ads ran without a disclaimer,120,1
192906947432657,Protagon.gr (official),Protagon.gr (official),110,24
108183264211965,UNICEF Greece,UNICEF Greece,109,9
100582149195797,CretaNews.eu,CretaNews.eu,107,4
100771372008093,powergame.gr,POWERGAME,102,37
1637375619619220,Άγγελος Αγραφιώτης,Άγγελος Αγραφιώτης,101,3
333635613794935,ΜέΡΑ25,ΜέΡΑ25,≤100,1
345324598921301,"Εφημερίδα ""Η Αυγή""","Εφημερίδα ""Η ΑΥΓΗ""",≤100,1
404183552993057,newmoney.gr,newmoney.gr,≤100,10
109057218424485,Δώσε αξία - ΕΔΣΝΑ,Ειδικός Διαβαθμιδικός Σύνδεσμος Νομού Αττικής (ΕΔΣΝΑ),≤100,1
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,≤100,1
104692221824082,Energymag.gr,Energymag,≤100,17
434931476703453,Theodoros Spiliopoulos,Theodoros Spiliopoulos,≤100,3
134135906635470,newsbomb.gr,newsbomb.gr,≤100,4
1748153855406537,vradini.gr,vradini.gr,≤100,10
31324524225,Greenpeace Greece,Greenpeace,≤100,3
639195573200114,Όλοι Εμείς - Δρόσος Τσαβλής,Όλοι Εμείς - Δρόσος Τσαβλής,≤100,2
1951011988554277,Θωμαΐς Οικονόμου - Thomais Oikonomou,Θωμαΐς Οικονόμου,≤100,2
1554850174582846,politic.gr,Politic.gr,≤100,2
1004900052864353,mononews.gr,mononews.gr,≤100,7
104871439107989,Justice Initiative Greece,Justice Initiative Greece,≤100,4
225197477683663,Ρένα Δούρου,Ρένα Δούρου,≤100,4
1200465556797225,Θανάσης Παπαθανάσης,Θανάσης Παπαθανάσης,≤100,16
159977541380043,The President,The President,≤100,4
511556309330155,Αντώνης Καμπουράκης,Αντώνης Καμπουράκης,≤100,2
108202487313859,Ο Πολύγραφος,Ο Πολύγραφος,≤100,2
131551513470,Γιάννης Πλακιωτάκης - Giannis Plakiotakis,Γιάννης Πλακιωτάκης - Giannis Plakiotakis,≤100,1
171526576324330,Marios G. Salmas,Marios G. Salmas,≤100,2
196882087005924,Παύλος Γερουλάνος,Παύλος Γερουλάνος,≤100,2
117037629671698,BusinessDaily,Business Daily,≤100,3
123836729361,New York College,New York College,≤100,7
224407310782,Εκδόσεις Διόπτρα - Dioptra Publications,Εκδόσεις Διόπτρα,≤100,1
239059192856378,parapolitika.gr,parapolitika.gr,≤100,39
526882294515877,Νίκος Παπαθανάσης - Nikos Papathanasis,Nikos Papathanasis,≤100,3
104944762512920,Στέλιος Αγγελούδης,Στέλιος Αγγελούδης,≤100,4
107898832590939,European Commission,European Commission,≤100,4
88027997208,Διεθνής Αμνηστία - Ελληνικό Τμήμα,Amnesty International Greece,≤100,1
266294520081135,karfitsa.gr,Karfitsa,≤100,2
186848962521,capital.gr,www.capital.gr,≤100,7
139872412072,Coca-Cola 3E,COCA-COLA ΤΡΙΑ ΕΨΙΛΟΝ ΕΛΛΑΔΟΣ Α.Β.Ε.Ε.,≤100,3
174590159233465,Thessaloniki International Film Festival,Thessaloniki International Film Festival,≤100,2
716811695006895,Συμμαχία Πολιτών,Συμμαχία Πολιτών,≤100,7
106336345076551,Agora Modiano,Agora Modiano,≤100,2
1375259192718674,The TOC,The TOC,≤100,6
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,≤100,3
755503537794595,Γιώργος Δημόπουλος - Giorgos Dimopoulos,Γιώργος Δημόπουλος - Giorgos Dimopoulos,≤100,1
104299506270374,Euro2day,Euro2day,≤100,7
227289347288526,Bodossaki Foundation - Ίδρυμα Μποδοσάκη,BODOSSAKI FOUNDATION,≤100,1
623039581123006,Ζωή Ράπτη,Ζωή Ράπτη,≤100,2
101167412891548,Γρηγόρης Αλεξόπουλος -Υποψήφιος Δήμαρχος Δήμου Δυτικής Αχαΐας,Γρηγόρης Αλεξόπουλος -Υποψήφιος Δήμαρχος Δήμου Δυτικής Αχαΐας,≤100,3
720161824810756,Κωνσταντίνος Ζέρβας,Konstantinos Zervas,≤100,1
1253522164824559,Σπύρος Βρακάς Υποψήφιος Βουλευτής Β' Αθηνών,Σπύρος Βρακάς Υποψήφιος Βουλευτής Β' Αθηνών,≤100,3
31324524225,Greenpeace Greece,Greenpeace Greece,≤100,1
285375141625572,Θεοφάνης Παπάς / Fanis Papas,Θεοφάνης Παπάς / Fanis Papas,≤100,2
668804566601196,Giorgos Patoulis,Georgios Patoulis,≤100,3
10348684611,Esquire Greece,Esquire Greece,≤100,3
323674011757953,Μπάμπης Παπαδημητρίου,Μπάμπης Παπαδημητρίου,≤100,1
321987701923959,Κώστας Ασκούνης,Προοπτική Ζωής,≤100,1
110915568643800,Κανελλής Δημήτρης - ΜέΡΑ25 Μαγνησίας Υποψήφιος Βουλευτής,Κανελλής Δημήτρης - ΜέΡΑ25 Μαγνησίας Υποψήφιος Βουλευτής,≤100,7
1453561674937232,Κορπή Φυσικό Μεταλλικό Νερό,These ads ran without a disclaimer,≤100,1
1796286800600041,Mobile Info Team for refugees in Greece - الفريق المتنقل لمعلومات اللاجئين,Mobile Info Team for refugees in Greece - الفريق المتنقل لمعلومات اللاجئين,≤100,4
109167905361203,UNIC Greece,These ads ran without a disclaimer,≤100,1
287878625015994,Reader.gr,Reader.gr,≤100,4
1438293789797221,ecoelastika,ecoelastika,≤100,4
1903473413254089,Vagelis Papakonstantinou,Vagelis Papakonstantinou,≤100,10
359612061446497,iEidiseis.gr,NEWSROOM Α.Ε.,≤100,2
633471613389186,Βασίλης Ξυπολυτάς,Βασίλης Ξυπολυτάς,≤100,3
115093111866664,Νίκος Χαρδαλιάς,Νίκος Χαρδαλιάς,≤100,5
262908277636323,F2F Insurance,F2F Insurance,≤100,16
407314116092988,Πέτη Πέρκα,Πέτη Πέρκα,≤100,3
590556791403274,OsteoStrong Greece,OsteoStrong Greece,≤100,2
339494163887900,ΑγαΠάμε την Πόλη μας τον Άγιο Δημήτριο,ΑγαΠάμε την Πόλη μας τον Άγιο Δημήτριο,≤100,5
113786601599699,Save-green-papagos,Save-green-papagos,≤100,1
285128781909133,Creta24,Creta24.gr,≤100,1
107718178601878,Banks.com.gr Business News,ETHOS MEDIA,≤100,6
100417542043170,Χρήστος Βάρδας,Χρήστος Βάρδας,≤100,1
298082857570091,Γιάννης Κεχρής,Γιάννης Κεχρής,≤100,1
104973119235311,Δύναμη Αλλαγής - με τους Νέους μπροστά για τον Δήμο Λαυρεωτικής,These ads ran without a disclaimer,≤100,1
103632234476485,Digital Mall,PROothisi,≤100,1
103754084863302,Εκδόσεις Επίκεντρο,Εκδόσεις Επίκεντρο,≤100,3
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,4
109075108422260,Δημοκρατική Άμυνα,Δημοκρατική Άμυνα,≤100,1
110980478628685,Όλγα Πολίτη,Όλγα Πολίτη,≤100,1
109620288727734,Κώστας Τρομπούκης,Κώστας Τρομπούκης,≤100,4
349629809016331,Μενέλαος Μαλτέζος,Μενέλαος Μαλτέζος,≤100,4
107822342225787,Δύναμη Ελπίδας - Γιώργος Τσουρουνάκης,Δύναμη Ελπίδας - Γιώργος Τσουρουνάκης,≤100,5
944957292359169,Άρης Τεμεκενίδης - Καλαμαριά Πρώτη Ξανά,ΚΑΛΑΜΑΡΙΑ ΠΡΩΤΗ ΞΑΝΑ,≤100,4
2051879855080785,TEXAN SA,ΤΕΧΑΝ A.B.E.E.,≤100,2
550426935090718,Focus στις Αχαρνές,Focus στις Αχαρνές,≤100,2
641412085923105,Ρένα Καραλαριώτου - Rena Karalariotou,Ρένα Καραλαριώτου - Rena Karalariotou,≤100,2
101494836092130,Χαλάνδρι στο Φως,Χαλάνδρι στο Φως,≤100,1
2428107534084155,DailyPost.gr,ΝΟΗΣΙΣ ΙΚΕ,≤100,1
110131647938040,Μάριος Διονέλλης - Πίσω Σελίδες,Μάριος Διονέλλης - Πίσω Σελίδες,≤100,2
165710610795923,Δημήτρης Καιρίδης-Dimitris Kairidis,Δημήτρης Καιρίδης-Dimitris Kairidis,≤100,1
412343665635401,Giannis Oikonomou,Γιάννης Οικονόμου,≤100,6
111151151051341,Debater,debater,≤100,5
100464079683051,Γιώργος Ιωακειμίδης- Υποψήφιος Περιφερειάρχης Αττικής,Attikos Kyklos Synergasias kai Empistosynhs,≤100,3
2289275974726914,Στέλιος Μαμαλάκης,Στέλιος Μαμαλάκης,≤100,2
107098807881409,Political.gr,POLITICAL,≤100,1
100169441866284,Νικόλαος Καρδούλας,Νικόλαος Καρδούλας,≤100,2
551917914903015,ekriti.gr,ekriti.gr,≤100,6
197346293688094,Bioagros,These ads ran without a disclaimer,≤100,1
