Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
189318235003,PSOE,PSOE,6854,24
110744281664042,Sumar,Sumar,4000,26
57845333112,Save the Children España,Save the Children España,1046,20
78151799929,Amnistía Internacional España,Amnistía Internacional España,1010,129
133044800622,Greenpeace España,Greenpeace España,914,29
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,571,12
110450198747205,Urna y toalla,Komons Collective SLL,554,71
20108693880,Oxfam Intermón,Oxfam Intermón,508,24
169915749735403,CEAR,CEAR,457,30
94118672764,ACNUR Comite español,ACNUR,433,10
178362315106,European Parliament,European Parliament,357,5
147547541961576,Council of the European Union,Council of the European Union,341,7
57973661707,WWF España,WWF España,301,52
467127060059387,VOX España,Vox,284,2
191375027559681,NIVEA,"NIVEA España (Beiersdorf, S.A.)",261,7
80678672726,Partido Popular Comunitat Valenciana,Partido Popular Comunitat Valenciana,230,1
306840072990831,Socios Cruz Roja,Socios Cruz Roja,199,7
102311569588220,Demos Lab,Demos Lab,192,7
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,190,21
132591756789822,Eroski,Eroski,182,2
245741112112300,Ayuda En Acción,Ayuda En Acción,179,26
815597255122198,Osoigo,Osoigo,170,81
438805149591701,Aldi Supermercados,ALDI Central de Compras,155,1
300102416847349,Wetaca,Wetaca,153,3
1549407258706617,"Fundación ""la Caixa""","Fundación ""la Caixa""",144,2
101621211837814,Patrimonio Nacional,These ads ran without a disclaimer,140,9
94118672764,ACNUR Comite español,ACNUR Comite español,128,3
1838777613037287,"Berdintasun, Justizia eta Gizarte Politiketako Saila",Eusko Jaurlaritza - Gobierno Vasco,125,4
190526467655484,Osakidetza,Osakidetza,119,6
821902454827883,Wave Of Change,Wave of Change,117,2
302436570114382,Amigos de los Mayores,Amigos de los Mayores,≤100,14
47896270298,Iberostar,Iberostar Hotels & Resorts,≤100,4
161916260510295,Òmnium Cultural,Òmnium Cultural,≤100,15
463627663844039,En Comú Podem,En Comú Podem,≤100,6
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,≤100,3
105664031745,UNRWA.es,UNRWA España,≤100,19
1566161093633067,Santander Empresas,Santander España,≤100,1
146043418739497,Diari ARA,Diari ARA,≤100,36
106331680386,PP de la Comunidad de Madrid,Partido Popular,≤100,2
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,≤100,3
120104454689359,MAPFRE,MAPFRE,≤100,26
131231529742,Fundación Anesvad,Fundación Anesvad,≤100,4
147254948760486,Fundación Española De Abogados Cristianos,Asociacion Española De Abogados Cristianos,≤100,7
111892984250,Fundación World Vision España,Fundación World Vision International,≤100,25
183202371808498,EH Bildu,EH Bildu,≤100,12
213195432085504,Dirección General de Tráfico - España,Dirección General de Tráfico - España,≤100,6
280596328688823,Tenerife Violeta,Cabildo de Tenerife,≤100,2
101812872336696,Alivia,Fundación Alivia España,≤100,12
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,≤100,2
186925684816583,Asociación Amicos,Asociación Amicos,≤100,2
128341470548824,BNG - Bloque Nacionalista Galego,BNG - Bloque Nacionalista Galego,≤100,4
100160149099313,Justice Initiative,Justice Initiative,≤100,4
100153748842445,Junior Report,Blue Globe Media S.L.,≤100,24
101815246228156,JEF España,JEF España,≤100,6
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,≤100,2
117887575012127,Leche Pascual,Leche Pascual,≤100,13
174696652583261,Fundación Aladina,Fundación Aladina,≤100,19
416723460540,Irekia - EJGV,Irekia - Gobierno Vasco,≤100,2
175357075823543,CRIS contra el Cancer,FUNDACIÓN CRIS DE INVESTIGACIÓN PARA VENCER EL CÁNCER,≤100,1
736587013081530,Bolt,These ads ran without a disclaimer,≤100,1
216211528733118,TAPP Water,These ads ran without a disclaimer,≤100,8
471951929539262,Energia_Vital,Energia_Vital,≤100,2
45817335745,Entreculturas,Entreculturas,≤100,17
121794324641122,Forbes España,Forbes España,≤100,11
148269501881188,Plataforma per la Llengua,Plataforma per la Llengua,≤100,1
70020937349,SEO/BirdLife,SEO/BirdLife,≤100,20
328501003939356,UIK,UIK,≤100,4
341793479830142,Padrinos por la Discapacidad,FUNDACIÓN JUAN BONAL,≤100,2
199264106789376,IOC Clínica Dental,IOC Clínica Dental,≤100,6
209596949081406,Fundación ANAR,Fundación ANAR,≤100,5
215170472339341,Estudo Momento,Estudo Momento,≤100,8
178932215807163,Endesa Clientes,Findasense,≤100,3
52107727250,Diario SUR,Diario SUR,≤100,6
114246916794630,En Asma el Cero Cuenta,Edelman Spain,≤100,6
764841146997173,En EPOC el Cero Cuenta,Edelman Spain,≤100,5
100342759555966,Amics Gent Gran,Amics de la Gent Gran,≤100,2
475079590706,Top Position,Top Position,≤100,2
57973661707,WWF España,WWF España,≤100,13
152984254897718,The Objective,The Objective Media SL,≤100,2
228545230545402,Manos Unidas,Manos Unidas,≤100,15
11473659787,Educo,Educo,≤100,4
400445143359153,Fundació Silvestre,Fundació Silvestre,≤100,15
522165734963300,USR Spania și Portugalia,Partidul Uniunea Salvați România,≤100,1
130499210351166,Fundació Bofill,Fundació Bofill,≤100,4
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,≤100,13
553983948100016,Músicos por la Salud,Fundación Social District (Músicos por la Salud),≤100,10
267052613399423,Fundació Ulls del món,Ulls del món,≤100,2
103440262813668,Osoigo Next,Osoigo,≤100,4
113442877220468,Gomez & Asociados GRUPO Inmobiliario,These ads ran without a disclaimer,≤100,1
175357075823543,CRIS contra el Cancer,CRIS contra el Cancer,≤100,24
158287010886289,Hay Derecho,Hay Derecho,≤100,16
100170683375588,Diputación de Cádiz,Diputación de Cádiz,≤100,3
102059939574373,Voluntarios con Capriles-España,Voluntarios con Capriles-España,≤100,4
150102398381838,Arquitectura Sin Fronteras,Arquitectura Sin Fronteras,≤100,3
1422699408042390,FP Claudio Galeno,These ads ran without a disclaimer,≤100,2
155704194479487,Salud por Derecho,Fundación Salud por Derecho,≤100,4
111993077931929,Adelante Andalucía,Adelante Andalucía,≤100,3
1758998197671486,Frente Obrero España,Comité pro-Frente Obrero España,≤100,3
205610086124991,Emakunde,Emakunde-Instituto Vasco de la Mujer,≤100,4
1035516339843936,Relevo Contigo,Relevo Contigo,≤100,10
100949746307943,Cima Universidad de Navarra,Cima Universidad de Navarra,≤100,17
256196396278,UNICEF España,UNICEF España,≤100,3
409388396198516,Freeda ES,Freeda Media,≤100,1
103368218406014,Aragón Noticias,These ads ran without a disclaimer,≤100,1
103232968260178,Parròquia Sant Pere. Canet,Parròquia Sant Pere. Canet,≤100,1
103902849400572,Psicólogo Ángel Rull,Ángel Rull - Psicología Online,≤100,17
566586106848762,EcoliveSystem,These ads ran without a disclaimer,≤100,1
178168275528158,Secretaría General Iberoamericana (SEGIB),Secretaría General Iberoamericana (SEGIB),≤100,10
238242996827,Mallorca Fashion Outlet,Mallorca Fashion Outlet,≤100,2
115481008480109,LG Global,Good Rebels,≤100,1
1793510380925494,USR Diaspora,Partidul Uniunea Salvați România,≤100,1
105587705334940,Padrinos,FUNDACIÓN JUAN BONAL,≤100,1
217796341666041,Psoe Soria,PSOE Soria,≤100,2
114320674917324,Puntos de Vista,Puntos de Vista,≤100,5
741696855903082,Opositatest,Opositatest,≤100,2
716000465221656,Associació Som Rurals,APPYWEB S.L,≤100,9
