Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
34848567724,Kyriakos Mitsotakis,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,2728,11
82362291274,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,1254,11
178362315106,European Parliament,European Parliament,423,15
12224403053,Alexis Tsipras,ΣΥ.ΡΙΖ.Α.,268,3
122074554119,EU Social,EU Social,264,7
105845878599873,Πατριωτική Δύναμη - Πρόδρομος Εμφιετζόγλου,Πανελλήνια Πατριωτική Ένωση,222,2
701705353261052,Σπύρος Πέγκας,Σπύρος Πέγκας,175,12
193078140705171,Stavros Niarchos Foundation,Stavros Niarchos Foundation,173,19
239059192856378,parapolitika.gr,parapolitika.gr,153,59
216089191899991,Νίκος Ανδρουλάκης,ΠΑΣΟΚ - Κίνημα Αλλαγής,152,3
91877963116,WWF Greece,WWF Greece,130,16
521845371622559,Μανόλης Καλαμπόκας - Αντιδήμαρχος Υγείας Δήμου Αθηναίων,Μανόλης Καλαμπόκας,119,13
1489639131352219,Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou,Πλεύση Ελευθερίας,113,1
31895177275,ΣΥ.ΡΙΖ.Α.,ΣΥ.ΡΙΖ.Α.,113,2
210840194307282,Αχαρνές για όλους,Αχαρνές για όλους,111,1
192906947432657,Protagon.gr (official),Protagon.gr (official),110,28
1637375619619220,Άγγελος Αγραφιώτης,Άγγελος Αγραφιώτης,101,3
100771372008093,powergame.gr,POWERGAME,≤100,31
199761862081210,Υπερταμείο - Growthfund,Hellenic Corporation of Assets and Participations S.A. (HCAP),≤100,7
101645014635556,Εξ-όρμηση,Εξ-όρμηση,≤100,2
404183552993057,newmoney.gr,newmoney.gr,≤100,8
109057218424485,Δώσε αξία - ΕΔΣΝΑ,Ειδικός Διαβαθμιδικός Σύνδεσμος Νομού Αττικής (ΕΔΣΝΑ),≤100,1
1748153855406537,vradini.gr,vradini.gr,≤100,12
107898832590939,European Commission,European Commission,≤100,2
104692221824082,Energymag.gr,Energymag,≤100,15
225197477683663,Ρένα Δούρου,Ρένα Δούρου,≤100,10
31324524225,Greenpeace Greece,Greenpeace,≤100,3
639195573200114,Όλοι Εμείς - Δρόσος Τσαβλής,Όλοι Εμείς - Δρόσος Τσαβλής,≤100,2
120265387706762,Σάββας Διακοσταματίου,Σάββας Διακοσταματίου,≤100,1
131551513470,Γιάννης Πλακιωτάκης - Giannis Plakiotakis,Γιάννης Πλακιωτάκης - Giannis Plakiotakis,≤100,4
159977541380043,The President,The President,≤100,4
104299506270374,Euro2day,Euro2day,≤100,6
104871439107989,Justice Initiative Greece,Justice Initiative Greece,≤100,3
1560264230888686,Ευτύχιος Δαμηλάκης,Ευτύχιος Δαμηλάκης,≤100,4
434931476703453,Theodoros Spiliopoulos,Theodoros Spiliopoulos,≤100,8
224407310782,Εκδόσεις Διόπτρα - Dioptra Publications,Εκδόσεις Διόπτρα,≤100,1
196882087005924,Παύλος Γερουλάνος,Παύλος Γερουλάνος,≤100,2
1438293789797221,ecoelastika,ecoelastika,≤100,3
1200465556797225,Θανάσης Παπαθανάσης,Θανάσης Παπαθανάσης,≤100,18
117037629671698,BusinessDaily,Business Daily,≤100,7
123836729361,New York College,New York College,≤100,7
119118951158433,Νάγια Γρηγοράκου,Νάγια Γρηγοράκου,≤100,1
107822342225787,Δύναμη Ελπίδας - Γιώργος Τσουρουνάκης,Δύναμη Ελπίδας - Γιώργος Τσουρουνάκης,≤100,4
1554850174582846,politic.gr,Politic.gr,≤100,3
106336345076551,Agora Modiano,Agora Modiano,≤100,2
104944762512920,Στέλιος Αγγελούδης,Στέλιος Αγγελούδης,≤100,2
350490315356765,Γιώργος Παπαδημητρίου - George Papadimitriou,Γιώργος Παπαδημητρίου - George Papadimitriou,≤100,1
186848962521,capital.gr,www.capital.gr,≤100,5
326961570786833,Ανδρέας Κονδύλης,Ανδρέας Κονδύλης,≤100,1
2428107534084155,DailyPost.gr,ΝΟΗΣΙΣ ΙΚΕ,≤100,1
1004900052864353,mononews.gr,mononews.gr,≤100,4
174590159233465,Thessaloniki International Film Festival,Thessaloniki International Film Festival,≤100,2
266294520081135,karfitsa.gr,Karfitsa,≤100,2
716811695006895,Συμμαχία Πολιτών,Συμμαχία Πολιτών,≤100,7
139872412072,Coca-Cola 3E,COCA-COLA ΤΡΙΑ ΕΨΙΛΟΝ ΕΛΛΑΔΟΣ Α.Β.Ε.Ε.,≤100,3
1796286800600041,Mobile Info Team for refugees in Greece - الفريق المتنقل لمعلومات اللاجئين,Mobile Info Team for refugees in Greece - الفريق المتنقل لمعلومات اللاجئين,≤100,4
668804566601196,Giorgos Patoulis,Georgios Patoulis,≤100,2
298082857570091,Γιάννης Κεχρής,Γιάννης Κεχρής,≤100,3
101494836092130,Χαλάνδρι στο Φως,Χαλάνδρι στο Φως,≤100,1
110980478628685,Όλγα Πολίτη,Όλγα Πολίτη,≤100,3
102996301401158,Νίκος Συρμαλένιος,Νίκος Συρμαλένιος,≤100,2
1568442923392082,Συμεών Κεδίκογλου,Συμεών Κεδίκογλου,≤100,1
1375259192718674,The TOC,The TOC,≤100,4
107718178601878,Banks.com.gr Business News,ETHOS MEDIA,≤100,4
103501014669406,Giannis Kalafatelis,Γ.Καλαφατέλης - Δήμαρχος Διονύσου,≤100,2
423867544329756,Η Εφημερίδα των Συντακτών,ΑΝΕΞΑΡΤΗΤΑ ΜΕΣΑ ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ ΑΕ,≤100,2
285128781909133,Creta24,Creta24.gr,≤100,1
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,≤100,3
219634128212269,Ασφαλιστική Αγορά,Asfalistiki Agora,≤100,3
109620288727734,Κώστας Τρομπούκης,Κώστας Τρομπούκης,≤100,4
345324598921301,"Εφημερίδα ""Η Αυγή""","Εφημερίδα ""Η ΑΥΓΗ""",≤100,1
134135906635470,newsbomb.gr,newsbomb.gr,≤100,2
323674011757953,Μπάμπης Παπαδημητρίου,Μπάμπης Παπαδημητρίου,≤100,1
110915568643800,Κανελλής Δημήτρης - ΜέΡΑ25 Μαγνησίας Υποψήφιος Βουλευτής,Κανελλής Δημήτρης - ΜέΡΑ25 Μαγνησίας Υποψήφιος Βουλευτής,≤100,7
321987701923959,Κώστας Ασκούνης,Προοπτική Ζωής,≤100,1
10348684611,Esquire Greece,Esquire Greece,≤100,2
109167905361203,UNIC Greece,These ads ran without a disclaimer,≤100,1
339494163887900,ΑγαΠάμε την Πόλη μας τον Άγιο Δημήτριο,ΑγαΠάμε την Πόλη μας τον Άγιο Δημήτριο,≤100,9
31324524225,Greenpeace Greece,Greenpeace Greece,≤100,1
1435774093378846,HuffPost Greece,HuffPost Greece,≤100,2
1784302725130457,Ahmadiyya Muslim Community Greece,Ahmadiyya Muslim Community Greece,≤100,2
171526576324330,Marios G. Salmas,Marios G. Salmas,≤100,1
359612061446497,iEidiseis.gr,NEWSROOM Α.Ε.,≤100,2
1253522164824559,Σπύρος Βρακάς Υποψήφιος Βουλευτής Β' Αθηνών,Σπύρος Βρακάς Υποψήφιος Βουλευτής Β' Αθηνών,≤100,2
109288387455480,Ορίζοντες Ηπείρου,Ορίζοντες Ηπείρου,≤100,1
115093111866664,Νίκος Χαρδαλιάς,Νίκος Χαρδαλιάς,≤100,10
262908277636323,F2F Insurance,F2F Insurance,≤100,14
102855236058060,Γιώργος Σισαμάκης,Γιώργος Σισαμάκης,≤100,3
590556791403274,OsteoStrong Greece,OsteoStrong Greece,≤100,2
720161824810756,Κωνσταντίνος Ζέρβας,Konstantinos Zervas,≤100,1
641412085923105,Ρένα Καραλαριώτου - Rena Karalariotou,Ρένα Καραλαριώτου - Rena Karalariotou,≤100,1
287878625015994,Reader.gr,Reader.gr,≤100,2
100417542043170,Χρήστος Βάρδας,Χρήστος Βάρδας,≤100,1
633471613389186,Βασίλης Ξυπολυτάς,Βασίλης Ξυπολυτάς,≤100,3
103754084863302,Εκδόσεις Επίκεντρο,Εκδόσεις Επίκεντρο,≤100,3
2198361083589693,Σάββας Χαλιαμπάλιας,Σάββας Χαλιαμπάλιας,≤100,1
339388672815860,Μαρία Πετροπούλου,These ads ran without a disclaimer,≤100,1
1711103219108990,Δημήτρης Κάρναβος - Dimitris Karnavos,Δ.Κάρναβος - Δήμαρχος Καλλιθέας,≤100,1
2051879855080785,TEXAN SA,ΤΕΧΑΝ A.B.E.E.,≤100,2
127082307305119,Εφημερίδα Μακεδονία,Εφημερίδα Μακεδονία,≤100,1
102620666010969,Astydama,Astydama,≤100,2
109075108422260,Δημοκρατική Άμυνα,Δημοκρατική Άμυνα,≤100,1
110608511715050,Άρης Πανόπουλος - Υποψήφιος Δήμαρχος Χαϊδαρίου,Aris Panopoulos,≤100,3
110131647938040,Μάριος Διονέλλης - Πίσω Σελίδες,Μάριος Διονέλλης - Πίσω Σελίδες,≤100,2
107453529357258,Γιάννης Κωνσταντάτος,Δήμαρχος Ελληνικού - Αργυρούπολης,≤100,1
2289275974726914,Στέλιος Μαμαλάκης,Στέλιος Μαμαλάκης,≤100,2
674103179323981,Μίνα Καούνη & Συνεργάτες,Μίνα Καούνη & Συνεργάτες,≤100,4
407314116092988,Πέτη Πέρκα,Πέτη Πέρκα,≤100,2
111151151051341,Debater,debater,≤100,5
349629809016331,Μενέλαος Μαλτέζος,Μενέλαος Μαλτέζος,≤100,5
944957292359169,Άρης Τεμεκενίδης - Καλαμαριά Πρώτη Ξανά,ΚΑΛΑΜΑΡΙΑ ΠΡΩΤΗ ΞΑΝΑ,≤100,1
1392597604345375,Άννα Ραφτοπούλου Υποψήφια Δήμαρχος Σπάτων - Αρτέμιδας Ανασσα,Άννα Ραφτοπούλου Υποψήφια Δήμαρχος Σπάτων - Αρτέμιδας,≤100,1
2934752839898761,Θεοδώρα Αυγέρη,Θεοδώρα Αυγέρη,≤100,1
100464079683051,Γιώργος Ιωακειμίδης- Υποψήφιος Περιφερειάρχης Αττικής,Attikos Kyklos Synergasias kai Empistosynhs,≤100,2
551917914903015,ekriti.gr,ekriti.gr,≤100,6
110424618617724,Βαγγέλης Θωμάς,Βαγγέλης Θωμάς,≤100,2
368217916600933,Αγγειοχειρουργός  Νίκος Παρασκευάς,Αγγειοχειρουργός  Νίκος Παρασκευάς,≤100,5
240199722469,The Best Portal,THE BEST net I.K.E. (ΕΝΗΜΕΡΩΣΗ ΕΠΙΚΟΙΝΩΝΙΑ THE BEST I.K.E.),≤100,5
107713108887656,ΕΡΓΟ ΤΩΡΑ - Χαράλαμπος Ν. Χρυσανίδης,ΕΡΓΟ ΤΩΡΑ - Χαράλαμπος Ν. Χρυσανίδης,≤100,1
578881372211864,Το Χαϊδάρι ψηλά - Αποστόλης Θεοφίλης,Το Χαϊδάρι ψηλά - Αποστόλης Θεοφίλης,≤100,2
107045865442426,Σπύρος Καραβάς-Spiros Karavas,Σπύρος Καραβάς-Spiros Karavas,≤100,2
106003555785903,Maria Karasalidou / Μαρία Καρασαλίδου,Maria Karasalidou / Μαρία Καρασαλίδου,≤100,1
