Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
72249031214,Partido Popular,Partido Popular,21366,305
110744281664042,Sumar,Sumar,7304,41
436925766384635,Fundació Cipriano García CCOO,Fundació Cipriano García CCOO,1928,46
191613196327,PSOE de Andalucía,PSOE de Andalucía,1718,5
57845333112,Save the Children España,Save the Children España,1531,25
463627663844039,En Comú Podem,En Comú Podem,1384,176
78151799929,Amnistía Internacional España,Amnistía Internacional España,1315,155
133044800622,Greenpeace España,Greenpeace España,1075,29
189318235003,PSOE,PSOE,1051,75
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,613,14
150234575797,Esquerra Republicana de Catalunya,Esquerra Republicana de Catalunya,600,6
1499578240271320,Coalicion Canaria,Coalicion Canaria,543,8
382886965378,Populares Illes Balears,Partido Popular,477,16
20108693880,Oxfam Intermón,Oxfam Intermón,469,30
169915749735403,CEAR,CEAR,446,29
110450198747205,Urna y toalla,Komons Collective SLL,403,95
178362315106,European Parliament,European Parliament,340,3
57973661707,WWF España,WWF España,315,56
114780085002861,Vota Si Quieres,Vota Si Quieres,315,32
213650972480262,Cristina Valido,Coalición Canaria,314,3
187629584594801,AnimaNaturalis España,AnimaNaturalis Internacional,302,2
111993077931929,Adelante Andalucía,Adelante Andalucía,271,120
531128753605705,PSOE Tenerife,PSOE Tenerife,243,6
429687251134247,María Fernández,Coalición Canaria,229,2
26830001203,EAJ-PNV,EAJ-PNV,226,3
183202371808498,EH Bildu,EH Bildu,220,14
147468905314265,Partido Por un Mundo más Justo · M+J,Partido Por un Mundo más Justo · M+J,207,4
213086312044776,Aldeas Infantiles SOS de España,Aldeas Infantiles SOS de España,203,12
1519614064741308,Miriam Nogueras Camero,Junts,202,2
306840072990831,Socios Cruz Roja,Socios Cruz Roja,198,7
132591756789822,Eroski,Eroski,194,2
107410381720374,Marea Deliberativa,Marea Deliberativa,190,5
815597255122198,Osoigo,Osoigo,189,73
245741112112300,Ayuda En Acción,Ayuda En Acción,183,26
190526467655484,Osakidetza,Osakidetza,173,10
102311569588220,Demos Lab,Demos Lab,171,6
626332130810584,Coalición Canaria Fuerteventura,Coalición Canaria Fuerteventura,159,8
392689997465240,PSOE Segovia,PSOE SEGOVIA,153,16
276999106249,Asociación Española Contra el Cáncer,Asociación Española Contra el Cáncer,148,22
214605018563667,PSOE Jaén,PSOE Jaén,148,2
273617426014444,Tetra Pak España,Findasense,134,4
104690619568713,"Yo reciclo vidrio, ¿y tú?",Ecovidrio,134,3
290610294298933,Geroa Bai,Geroa Bai,127,12
821902454827883,Wave Of Change,Wave of Change,119,2
147547541961576,Council of the European Union,Council of the European Union,118,2
186925684816583,Asociación Amicos,Asociación Amicos,≤100,2
161916260510295,Òmnium Cultural,Òmnium Cultural,≤100,12
194053080624605,Compromís,Compromís-Sumar,≤100,2
300102416847349,Wetaca,Wetaca,≤100,2
47896270298,Iberostar,Iberostar Hotels & Resorts,≤100,4
280596328688823,Tenerife Violeta,Cabildo de Tenerife,≤100,2
269212336568846,Podemos,PODEMOS,≤100,75
156284204461019,CUP Països Catalans,Candidatura d'Unitat Popular,≤100,2
117887575012127,Leche Pascual,Leche Pascual,≤100,15
73510463324,Partido Socialista de Navarra (PSN-PSOE),PSN-PSOE,≤100,3
120104454689359,MAPFRE,MAPFRE,≤100,27
146043418739497,Diari ARA,Diari ARA,≤100,37
106050095884199,EDUSI El EJIDO,EDUSI EL EJIDO,≤100,2
386166375144833,Junts per Catalunya,Junts per Catalunya,≤100,3
1566161093633067,Santander Empresas,Santander España,≤100,1
112538350301638,Ministerio de Igualdad,Ministerio de Igualdad,≤100,6
11473659787,Educo,Educo,≤100,11
110903562266070,Partido Popular de Salamanca,Partido Popular de Salamanca,≤100,5
106707916656,UPN - Unión del Pueblo Navarro,UPN,≤100,3
129288810450590,Donostia - San Sebastián,Donostiako Udala - Ayuntamiento de San Sebastián,≤100,4
113760931412,Acción contra el Hambre España,Acción contra el Hambre España,≤100,1
121058217922496,CaixaForum,CaixaForum,≤100,1
131231529742,Fundación Anesvad,Fundación Anesvad,≤100,4
139153867956,Fundació Pasqual Maragall,Fundación Pasqual Maragall,≤100,3
1343854499090700,Bea Fanjul,PARTIDO POPULAR DEL PAÍS VASCO,≤100,2
110914462055625,SUMAR León,Sumar,≤100,8
152984254897718,The Objective,The Objective Media SL,≤100,1
100160149099313,Justice Initiative,Justice Initiative,≤100,4
80678672726,Partido Popular Comunitat Valenciana,Partido Popular Comunitat Valenciana,≤100,1
101812872336696,Alivia,Fundación Alivia España,≤100,10
100153748842445,Junior Report,Blue Globe Media S.L.,≤100,20
205020556374341,Bezoya,Bezoya,≤100,4
128341470548824,BNG - Bloque Nacionalista Galego,BNG - Bloque Nacionalista Galego,≤100,27
101815246228156,JEF España,JEF España,≤100,2
183718528322316,MÉS per Mallorca,Refinería Innovation,≤100,1
736116756508847,PSOE de Almería,PSOE de Almería,≤100,47
116987781644980,Shangay,Editorial IMANÍ,≤100,1
216290708406257,Alianza por la Solidaridad,Alianza por la Solidaridad,≤100,2
374070875952519,Esquerra Barcelona,Esquerra Barcelona,≤100,3
416723460540,Irekia - EJGV,Irekia - Gobierno Vasco,≤100,2
70020937349,SEO/BirdLife,SEO/BirdLife,≤100,15
179666655404875,Comisión Europea en España,Comisión Europea en España,≤100,2
175357075823543,CRIS contra el Cancer,CRIS contra el Cancer,≤100,21
582289161857444,Partido Popular de Barcelona,Partido Popular de Barcelona,≤100,7
155704194479487,Salud por Derecho,Fundación Salud por Derecho,≤100,14
111892984250,Fundación World Vision España,Fundación World Vision International,≤100,22
101877332967143,Sumar Toledo,Relato en Red S.L.,≤100,1
114320674917324,Puntos de Vista,Puntos de Vista,≤100,9
45817335745,Entreculturas,Entreculturas,≤100,18
471951929539262,Energia_Vital,Energia_Vital,≤100,2
105664031745,UNRWA.es,UNRWA España,≤100,15
114231023450252,nt:FOR,These ads ran without a disclaimer,≤100,1
148269501881188,Plataforma per la Llengua,Plataforma per la Llengua,≤100,1
199264106789376,IOC Clínica Dental,IOC Clínica Dental,≤100,6
175357075823543,CRIS contra el Cancer,FUNDACIÓN CRIS DE INVESTIGACIÓN PARA VENCER EL CÁNCER,≤100,1
302436570114382,Amigos de los Mayores,Amigos de los Mayores,≤100,11
48426568814,Federación Socialista Asturiana FSA-PSOE,Federación Socialista Asturiana FSA-PSOE,≤100,5
215170472339341,Estudo Momento,Estudo Momento,≤100,4
741696855903082,Opositatest,Opositatest,≤100,3
107645642303417,Joanne Platform,These ads ran without a disclaimer,≤100,1
53128154541,habitissimo,These ads ran without a disclaimer,≤100,1
228545230545402,Manos Unidas,Manos Unidas,≤100,14
114246916794630,En Asma el Cero Cuenta,Edelman Spain,≤100,5
100949746307943,Cima Universidad de Navarra,Cima Universidad de Navarra,≤100,16
429687251134247,María Fernández,María Fernández,≤100,1
522165734963300,USR Spania și Portugalia,Partidul Uniunea Salvați România,≤100,1
764841146997173,En EPOC el Cero Cuenta,Edelman Spain,≤100,4
95878687102,Fundación Vicente Ferrer,Fundación Vicente Ferrer,≤100,12
116136108464509,CaixaBank,CaixaBank,≤100,2
174696652583261,Fundación Aladina,Fundación Aladina,≤100,17
130499210351166,Fundació Bofill,Fundació Bofill,≤100,4
1758998197671486,Frente Obrero España,Comité pro-Frente Obrero España,≤100,1
158287010886289,Hay Derecho,Hay Derecho,≤100,16
341793479830142,Padrinos por la Discapacidad,FUNDACIÓN JUAN BONAL,≤100,2
635955783199441,Cursos Nascor,Nascor Formación,≤100,4
224023144448898,Esquerra Vallès Oriental,Esquerra Vallès Oriental,≤100,1
400445143359153,Fundació Silvestre,Fundació Silvestre,≤100,16
105587705334940,Padrinos,FUNDACIÓN JUAN BONAL,≤100,2
191375027559681,NIVEA,"NIVEA España (Beiersdorf, S.A.)",≤100,4
100170683375588,Diputación de Cádiz,Diputación de Cádiz,≤100,3
1035516339843936,Relevo Contigo,Relevo Contigo,≤100,10
553983948100016,Músicos por la Salud,Fundación Social District (Músicos por la Salud),≤100,10
125601904139182,Yorokobu,Yorokobu,≤100,2
216211528733118,TAPP Water,These ads ran without a disclaimer,≤100,9
205610086124991,Emakunde,Emakunde-Instituto Vasco de la Mujer,≤100,4
256196396278,UNICEF España,UNICEF España,≤100,4
468665316526218,Soria Ya,Plataforma Soria ¡YA!,≤100,4
360826857301317,Casal dels Infants,Casal dels Infants,≤100,4
217796341666041,Psoe Soria,PSOE Soria,≤100,5
101132249298796,HubSocial_fundlacaixa,HubSocial_fundlacaixa,≤100,2
109669008463298,Sumar Galicia,These ads ran without a disclaimer,≤100,1
57973661707,WWF España,WWF España,≤100,16
1422699408042390,FP Claudio Galeno,These ads ran without a disclaimer,≤100,2
108327645244801,Agrobesana App,Comunicación y Gestión de Medios ñ multimedia,≤100,2
1833120820244343,GAL Turia-Calderona,APPYWEB S.L,≤100,13
115481008480109,LG Global,Good Rebels,≤100,1
716000465221656,Associació Som Rurals,APPYWEB S.L,≤100,9
310475379072138,Unidos x Laredo,Unidos x Laredo,≤100,2
1457125441239177,Amparo Folgado Tonda,Amparo Folgado Tonda,≤100,2
1811935085732429,Fiet Gratia,ONG DE DESARROLLO FIET GRATIA,≤100,1
121794324641122,Forbes España,Forbes España,≤100,5
58113300819,Barcelona Cultura,Barcelona Cultura,≤100,2
103440262813668,Osoigo Next,Osoigo,≤100,4
103693011035550,Santander Global,Banco Santander,≤100,1
244777995534742,Ayuda a la Iglesia Necesitada - ACN España,Ayuda a la Iglesia Necesitada,≤100,15
297049206972490,El Temps,El Temps,≤100,4
372526823330700,Raúl Morales,Raúl Morales,≤100,3
134590246581400,Parlament Europeu a Barcelona,Parlament Europeu a Barcelona,≤100,12
176592142419661,Holaluz,HolaLuz.com,≤100,1
178168275528158,Secretaría General Iberoamericana (SEGIB),Secretaría General Iberoamericana (SEGIB),≤100,7
104626078500694,Theramex Spain,Theramex Healthcare Spain SLU,≤100,2
213195432085504,Dirección General de Tráfico - España,Dirección General de Tráfico - España,≤100,6
238600172991554,Fashion Revolution España,Fashion Revolution España,≤100,1
109279748602299,Financial Consulting,These ads ran without a disclaimer,≤100,1
376800162652490,Actualitat Valenciana,Grupo Calaforra Media SL,≤100,1
685140315247660,Veredas de Encuentro,FUNDACIÓN JUAN BONAL,≤100,1
484692358257843,Diari ARA Balears,Diari ARA Balears,≤100,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,15
364955387328772,Equalia,Equalia,≤100,1
479912248699642,Soliss Seguros,These ads ran without a disclaimer,≤100,1
1540963892855838,Socialistas Yecla,Socialistas Yecla,≤100,1
104006870655,PIMEC,PIMEC,≤100,3
1396030134038350,Diputación de Almería,Diputación de Almería,≤100,1
796716270345901,Ecoforest,Ecoforest,≤100,2
110811050402135,Ana Sanchez,PSOE Castilla y León,≤100,1
1597205110535229,Culligan Premium WATER,These ads ran without a disclaimer,≤100,1
340569499642887,In Género,In Género,≤100,4
